,year,month,day,real data,data with prediction for 2023
416,2022,7,7,1976.2244462785216,1976.2244462785216
417,2022,7,8,2237.42381273361,2237.42381273361
418,2022,7,9,2139.9411864113717,2139.9411864113717
419,2022,7,10,1610.7619914366574,1610.7619914366574
420,2022,7,11,1975.5328383933434,1975.5328383933434
421,2022,7,12,1964.3375805350774,1964.3375805350774
422,2022,7,13,52.166666666666664,52.166666666666664
423,2022,7,14,1355.5,1355.5
424,2022,7,15,1327.1666666666667,1327.1666666666667
425,2022,7,16,1281.0,1281.0
426,2022,7,17,1029.6666666666667,1029.6666666666667
427,2022,7,18,1117.6666666666667,1117.6666666666667
428,2022,7,19,1033.5,1033.5
429,2022,7,20,1150.8333333333333,1150.8333333333333
430,2022,7,21,1204.8333333333333,1204.8333333333333
431,2022,7,22,1261.5,1261.5
432,2022,7,23,1209.5,1209.5
433,2022,7,24,882.8333333333334,882.8333333333334
434,2022,7,25,1042.0,1042.0
435,2022,7,26,1080.3333333333333,1080.3333333333333
436,2022,7,27,1155.1666666666667,1155.1666666666667
437,2022,7,28,1209.1666666666667,1209.1666666666667
438,2022,7,29,1273.5,1273.5
439,2022,7,30,1057.1666666666667,1057.1666666666667
440,2022,7,31,778.5,778.5
441,2022,8,1,720.3333333333334,720.3333333333334
442,2022,8,2,1118.1666666666667,1118.1666666666667
443,2022,8,3,1097.3333333333333,1097.3333333333333
444,2022,8,4,1215.5,1215.5
445,2022,8,5,1286.5,1286.5
446,2022,8,6,1226.6666666666667,1226.6666666666667
447,2022,8,7,882.1666666666666,882.1666666666666
448,2022,8,8,1065.3333333333333,1065.3333333333333
449,2022,8,9,1117.6666666666667,1117.6666666666667
450,2022,8,10,1200.6666666666667,1200.6666666666667
451,2022,8,11,1176.5,1176.5
452,2022,8,12,1271.8333333333333,1271.8333333333333
453,2022,8,13,1184.0,1184.0
454,2022,8,14,869.1666666666666,869.1666666666666
455,2022,8,15,982.5,982.5
456,2022,8,16,1083.5,1083.5
457,2022,8,17,1055.5,1055.5
458,2022,8,18,1942.0,1942.0
459,2022,8,19,2107.5,2107.5
460,2022,8,20,1940.3333333333333,1940.3333333333333
461,2022,8,21,1531.6666666666667,1531.6666666666667
462,2022,8,22,1920.1666666666667,1920.1666666666667
463,2022,8,23,1989.6666666666667,1989.6666666666667
464,2022,8,24,2062.6666666666665,2062.6666666666665
465,2022,8,25,2066.0,2066.0
466,2022,8,26,2219.6666666666665,2219.6666666666665
467,2022,8,27,2259.1666666666665,2259.1666666666665
468,2022,8,28,1655.3333333333333,1655.3333333333333
469,2022,8,29,2017.3333333333333,2017.3333333333333
470,2022,8,30,2012.8333333333333,2012.8333333333333
471,2022,8,31,1786.3333333333333,1786.3333333333333
472,2022,9,1,1923.0,1923.0
473,2022,9,2,2044.8333333333333,2044.8333333333333
474,2022,9,3,1567.0,1567.0
475,2022,9,4,1672.0,1672.0
476,2022,9,5,1638.1666666666667,1638.1666666666667
477,2022,9,6,1572.0,1572.0
478,2022,9,7,1746.3333333333333,1746.3333333333333
479,2022,9,8,1817.3333333333333,1817.3333333333333
480,2022,9,9,1989.8333333333333,1989.8333333333333
481,2022,9,10,2326.6666666666665,2326.6666666666665
482,2022,9,11,1046.1666666666667,1046.1666666666667
483,2022,9,12,1714.3333333333333,1714.3333333333333
484,2022,9,13,1745.8333333333333,1745.8333333333333
485,2022,9,14,1891.1666666666667,1891.1666666666667
486,2022,9,15,1835.8333333333333,1835.8333333333333
487,2022,9,16,2068.3333333333335,2068.3333333333335
488,2022,9,17,2160.1666666666665,2160.1666666666665
489,2022,9,18,1515.0,1515.0
490,2022,9,19,1632.3333333333333,1632.3333333333333
491,2022,9,20,1739.0,1739.0
492,2022,9,21,1879.3333333333333,1879.3333333333333
493,2022,9,22,1446.0,1446.0
494,2022,9,23,2032.1666666666667,2032.1666666666667
495,2022,9,24,2306.5,2306.5
496,2022,9,25,1590.1666666666667,1590.1666666666667
497,2022,9,26,1718.1666666666667,1718.1666666666667
498,2022,9,27,1718.6666666666667,1718.6666666666667
499,2022,9,28,1775.0,1775.0
500,2022,9,29,1867.8333333333333,1867.8333333333333
501,2022,9,30,1832.6666666666667,1832.6666666666667
502,2022,10,1,2168.5,2168.5
503,2022,10,2,1551.6666666666667,1551.6666666666667
